Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2017;Neuchatel;15818000;2194971;122714;2946;119769;192255;87539;22500;29441;41880;281;10614;559350;113385;32130;142321;48835;2239;184891;33145;2404;30049;6278;16211;236;5765;1560;379414;316774;38728;19007;0;4904;601426;126922;103615;72045;65260;34844;1432;197041;0;268;117016;48408;68608;0;0;17139;749;3253;1204;1201;2080;3530;3394;1729;129790;92636;10148;675;4466;18466;0;3398;0;45818;15023;0;2488;3071;25236
2018;Neuchatel;16507000;2212707;136617;3402;133214;187591;80273;21676;28323;48339;0;8980;552317;122765;33608;120634;42006;7053;182768;34337;9147;27804;6923;15227;236;3858;1560;382926;318736;40196;16911;0;7084;606644;125800;107246;71839;64558;42153;810;194237;0;0;123183;54175;69008;0;0;22275;1971;5293;895;1333;7021;6510;4;-751;130092;97378;4448;626;5705;16682;0;5253;0;43257;14575;0;3625;2655;22402
2019;Neuchatel;16704000;2425672;136550;3566;132984;191422;80459;22130;29247;50933;0;8652;541411;122310;34653;111497;40754;12150;173273;32620;14154;28383;7340;15454;309;3721;1560;597286;531232;40557;16956;0;8541;591424;117583;112421;75573;69937;40587;682;174642;0;0;133013;62473;70540;0;0;23552;3653;5034;1152;1314;8090;5721;10;-1421;135992;96505;5004;469;4638;21999;0;7377;0;46638;17112;0;3475;3190;22861
2020;Neuchatel;0;2371698;142731;3575;139156;194599;82810;22906;29894;50397;0;8593;554873;124310;36049;125264;38582;12617;168926;31566;17559;31722;6843;18920;300;4099;1560;455851;354002;42479;49490;0;9880;612198;124341;119548;79256;69192;43568;541;175753;0;0;145514;69367;76147;0;0;29069;4624;4171;1055;3593;7198;5986;10;2432;150372;95818;4630;559;5510;36565;0;7291;0;54769;12603;0;16518;2525;23123
1990;Nidwalden;0;154210;8304;1201;7103;17704;7090;2158;946;3919;13;3579;19227;2489;1439;5632;5344;547;2539;0;1237;6215;2840;2587;10;442;337;23882;23415;48;352;0;68;12753;32;3624;6692;421;168;849;694;0;274;22138;19274;2666;199;0;8063;24;2887;1549;3189;209;0;35;169;21180;11645;8337;360;127;669;0;43;0;14743;156;0;4100;4788;5700
1991;Nidwalden;0;168352;9958;1490;8467;19099;7198;2336;1194;3738;51;4581;22274;2858;1433;7359;5806;748;2684;0;1385;4517;2279;1607;0;506;125;29148;28519;51;558;0;20;15170;32;4144;8243;533;192;642;1384;0;0;21849;20797;991;61;0;9708;0;3484;1580;3479;197;0;175;792;21398;14319;6309;356;149;233;0;34;0;15232;148;0;4467;4999;5618
1992;Nidwalden;0;185166;12330;1429;10901;24210;7580;2818;1031;4821;67;7892;25561;3675;1712;8100;6614;922;2916;0;1622;3345;1671;495;0;673;506;30888;30394;60;412;0;22;19278;28;4855;10576;600;245;943;2027;0;5;22536;21125;1411;0;0;11884;2;4283;145;5546;219;0;170;1519;20229;14509;4961;369;180;178;0;33;0;14904;309;0;4720;4324;5552
1993;Nidwalden;0;198429;15082;1446;13635;19140;7994;2815;1347;3586;68;3331;29612;4558;3242;8837;6873;1134;3248;0;1721;4887;2007;881;0;730;1269;29885;29387;63;413;0;21;28554;89;5166;10895;666;7547;825;3360;0;5;22620;21309;1311;0;0;9750;21;4935;85;3894;206;0;177;433;22850;15966;5848;393;130;437;0;75;0;16050;439;0;4754;4411;6445
1994;Nidwalden;0;210743;12902;1562;11340;19415;8455;3044;1305;3337;61;3214;31598;3797;3165;10557;7502;1192;3429;0;1956;4138;2928;426;0;533;250;38449;37934;62;430;0;23;25979;93;5751;12169;564;3620;812;2966;0;4;24150;21390;2760;0;0;10493;13;5104;112;4067;259;0;263;676;27291;16107;5114;410;181;451;5000;29;0;16328;241;0;4881;4456;6750
1995;Nidwalden;0;223670;15625;1585;14039;19982;8333;2952;1520;3646;219;3312;35700;5638;2466;12452;8203;1462;3727;0;1753;2619;1588;455;0;538;38;47066;46580;67;381;0;38;27399;2321;7186;9180;640;798;804;6470;0;0;24048;20749;2892;408;0;9417;2;4843;64;2754;438;0;377;940;22252;16914;4184;393;186;517;0;59;0;19564;278;0;8932;3518;6836
1996;Nidwalden;0;235141;16389;1477;14912;21354;8940;3118;1494;3666;212;3924;32840;4205;2008;10710;8438;1529;4238;0;1712;2258;1080;564;0;578;37;49847;49273;157;375;0;42;35069;6998;8950;8892;656;4860;564;4140;0;9;20627;17513;3006;108;0;9578;7;3738;95;3823;490;0;306;1119;25691;19847;4846;411;192;386;0;10;0;21487;210;0;9225;4681;7371
1997;Nidwalden;0;236104;13779;1530;12249;24283;8497;3430;1636;3528;4171;3020;34487;4096;2491;10782;9013;1806;4580;0;1718;3331;1827;669;0;794;41;43451;42786;52;443;0;170;41143;7585;9638;9344;1315;8783;819;3658;0;0;21470;18917;2553;0;0;7794;0;2360;175;3891;537;0;121;709;25683;20623;4231;421;207;194;0;7;0;20685;300;0;9169;3601;7615
1998;Nidwalden;0;247767;14946;1659;13287;22092;8408;3475;1533;3548;2023;3104;37033;3477;2441;13121;11487;1989;2779;0;1739;3361;2096;585;0;633;47;39949;39139;34;620;0;156;38579;6306;8268;9650;1344;7491;417;5099;0;5;38151;35540;2612;0;0;8137;0;2044;132;4364;525;0;105;966;23364;19316;3227;388;200;212;0;23;0;22156;476;0;9639;3920;8121
1999;Nidwalden;0;241192;19258;1909;17349;19471;7749;3553;1589;3564;308;2708;36175;1716;2549;12507;12823;1702;3065;0;1815;3298;1922;636;0;705;36;18401;17199;41;840;0;321;36946;7543;8873;11211;1295;594;391;7030;0;10;54372;51161;3212;0;0;8549;0;1048;141;4239;593;0;1454;1074;22450;18487;3106;390;199;197;0;71;0;22271;740;0;10052;3398;8081
2000;Nidwalden;0;266450;17170;2465;14705;20959;8020;3659;1607;3764;56;3853;36478;1768;2660;9537;14346;2780;3386;0;2001;3999;2304;785;0;777;133;20719;19204;46;1028;0;441;38799;7423;10275;12746;1406;520;376;6049;0;5;62717;59604;3113;0;0;10392;0;1824;128;4791;613;0;1889;1147;30621;19280;10270;422;203;373;0;73;0;24596;853;0;11986;3653;8104
2001;Nidwalden;0;306802;16721;2598;14123;24620;8591;3802;1918;3514;68;6727;36703;1997;2945;9229;12810;446;7039;0;2237;3908;2406;768;0;698;36;54062;52227;64;1239;0;532;41460;10882;10524;12008;1131;1059;433;5419;0;5;66455;61965;4490;0;0;9548;0;601;426;5013;647;0;1699;1161;26152;19438;5684;422;215;295;0;99;0;27172;674;0;12963;5368;8167
2002;Nidwalden;0;356464;24854;2566;22288;23476;9624;4228;1871;3697;205;3852;41669;2009;3124;10035;16328;169;7556;0;2448;2977;1421;749;0;710;97;56718;54904;69;1201;0;544;43907;10925;10697;12796;1660;1184;566;6075;0;5;63455;58846;4609;0;0;10728;0;1365;616;5249;647;0;1940;912;62058;21283;4688;414;212;337;5000;30123;0;26622;498;0;14649;3383;8093
2003;Nidwalden;0;351914;18885;2416;16469;27168;12975;4471;1988;4139;211;3383;43518;1582;4591;11072;16333;170;7348;0;2422;3954;2299;884;0;736;35;55047;53380;77;968;0;622;45520;9617;11913;13643;1466;1817;670;6389;0;5;87941;80212;7729;0;0;12126;0;1014;51;5981;696;0;2065;2320;28899;22448;5410;428;211;225;0;177;0;28855;483;0;16465;4557;7350
2004;Nidwalden;0;354698;19503;2309;17194;28977;14063;4360;1906;4546;210;3892;47894;2329;6561;13116;14866;684;7982;0;2356;4199;2525;868;0;762;45;58937;56842;51;1460;0;585;46101;9468;11524;14037;1572;2329;684;6481;0;5;80309;73672;6637;0;0;11577;0;1146;3;6090;807;0;2157;1375;27846;22429;4339;418;212;225;0;222;0;29355;907;0;16640;4919;6889
2005;Nidwalden;0;383391;20408;2281;18127;34699;14429;4421;1849;4558;306;9136;50142;3368;4147;14044;17211;1207;7854;0;2310;4046;1940;916;0;1151;39;56343;54561;53;1132;0;596;47815;9494;12506;14558;1978;2228;698;6348;0;5;92678;76506;16172;0;0;20417;0;1296;20;13094;764;0;2272;2971;29644;24137;4173;466;328;265;0;275;0;27198;773;0;16853;3515;6057
2006;Nidwalden;0;364054;20605;2618;17987;37966;14145;4511;1861;4709;257;12483;50575;4909;4275;13329;15130;2105;8490;0;2339;3707;1785;771;13;1060;79;57384;55495;49;1126;0;713;48710;11237;11375;14556;2194;2283;701;6357;0;6;73333;66237;7097;0;0;15801;0;1372;0;10520;702;0;1850;1357;29140;23343;4474;459;301;260;0;304;0;26833;670;0;16802;4428;4932
2007;Nidwalden;0;390440;18947;2360;16587;40953;14131;4790;2224;4607;270;14932;57024;5284;3607;15090;19367;2372;8842;0;2463;4741;2628;1028;0;1039;46;63403;61381;47;1250;0;725;57575;12740;16097;15547;3600;2109;725;6752;0;6;71488;65031;6430;28;0;12861;0;1076;0;6545;731;0;1811;2699;33459;25765;6110;476;336;479;0;293;0;29988;519;0;18313;5556;5600
2008;Nidwalden;2539000;354325;20936;2352;18584;25921;9227;4629;2159;4308;237;5360;48117;2872;3918;13726;12291;1914;10916;0;2480;3902;1995;852;0;971;83;48674;46594;45;302;0;1733;43805;13236;10961;6052;6058;266;464;6762;0;6;75887;68011;7802;74;0;8598;0;1665;11;3815;741;28;1761;577;32901;23806;3836;488;468;3854;0;448;0;45584;538;0;32183;8194;4669
2009;Nidwalden;2522000;331531;21813;2597;19216;30544;9726;5326;3007;4617;144;7725;49256;2052;4031;13837;13562;2412;10743;0;2619;4115;1999;928;0;1125;63;35045;32801;37;350;0;1856;47330;14438;11502;6101;6196;322;526;8238;0;6;53575;38072;15386;117;0;10254;0;1059;442;5278;1104;119;1752;500;31419;23975;2029;601;471;3721;0;622;0;48179;373;0;35585;7873;4349
2010;Nidwalden;2741000;331082;22100;3249;18851;32703;9211;5750;2335;5002;140;10265;51345;2148;4114;14338;13989;2485;11839;0;2432;5049;1865;2233;0;925;25;42979;40672;53;606;0;1648;50674;17771;12061;6501;6844;298;50;7147;0;1;40783;24294;15275;1213;0;13202;0;1261;563;7865;910;330;1572;701;36331;25688;1738;489;396;7621;0;399;0;35917;499;0;22756;8338;4325
2011;Nidwalden;2798000;385203;23276;3549;19727;31114;9953;7032;2292;5150;0;6687;54010;2281;4580;14395;16428;1934;12008;0;2383;6273;1543;3539;0;1145;47;89349;85700;1120;449;0;2080;53016;18225;16576;7148;3076;295;66;7629;0;1;40202;22079;15550;2573;0;12063;0;133;59;8012;720;699;1563;876;38450;26051;1872;527;269;8881;0;850;0;37449;860;0;22752;9761;4076
2012;Nidwalden;2876000;327888;23363;3088;20275;32616;10090;8624;2505;5579;0;5819;59454;2184;4553;14819;19981;2447;13149;0;2321;4911;1704;2280;0;867;60;45288;41593;1190;451;0;2053;55983;18093;16900;7719;4962;286;103;7921;0;0;30152;15541;11334;3276;0;6066;0;135;0;2535;817;370;1645;563;33938;24573;4764;530;259;3474;0;339;0;36118;440;0;22797;9580;3301
2013;Nidwalden;3075000;333605;24228;3233;20994;32788;9893;7905;3233;6309;0;5448;57097;2127;4092;14999;18721;2450;12508;0;2200;5672;2021;2434;0;1196;21;46807;43169;1415;455;0;1768;59998;18802;17726;8428;4690;322;57;9973;0;0;26475;12217;12743;1515;0;6966;0;0;64;3406;816;447;1609;625;34441;24935;4174;515;197;3924;0;696;0;39132;698;0;25975;9593;2866
2014;Nidwalden;3170000;331728;25524;3227;22297;34211;10510;8171;3205;6736;0;5587;51133;1954;4357;13792;14424;2418;11898;30;2261;5737;1739;2813;0;1156;29;46270;42423;1581;175;0;2091;57622;15028;17999;9297;4371;390;51;10466;0;19;24801;10304;13768;730;0;11879;0;0;0;8581;783;412;1506;597;36582;26364;4463;529;162;4517;0;463;85;37969;948;0;27603;6533;2885
2015;Nidwalden;2999000;334405;25443;3219;22224;36111;11353;9089;3055;6822;0;5792;52798;1977;4467;14944;13043;2724;13248;14;2382;5938;2200;2641;0;1073;25;46273;42715;1638;172;0;1749;58500;13850;19356;8606;4862;340;50;11434;0;3;25162;11742;12544;876;0;9491;0;0;0;6073;816;399;1530;673;33637;24905;4114;574;178;3481;0;386;0;41051;539;0;30359;7407;2746
2016;Nidwalden;2940000;350877;23611;3012;20598;34980;11551;8550;2778;6753;0;5347;53510;2111;4924;15034;12712;2864;13611;14;2239;6374;2667;2433;0;1197;77;49637;45630;1897;180;0;1931;63378;13853;21109;8811;5383;373;249;13597;0;5;23198;10962;11570;667;0;9804;0;0;0;6086;863;736;1518;602;34179;24544;3559;605;240;4979;0;252;0;52205;599;0;41643;7382;2582
2017;Nidwalden;3058000;359542;24174;2920;21254;34143;11380;8223;2534;7115;0;4892;52995;2049;4728;14726;12915;2741;13595;17;2224;5227;1642;2372;0;1188;26;54955;50175;2557;222;0;2002;62389;16311;17670;10018;4518;407;101;13356;0;9;25832;14731;10319;782;0;8187;0;0;0;4492;851;819;1499;525;36280;24430;3572;512;1434;6095;0;238;0;55359;548;0;47426;5001;2384
2018;Nidwalden;3103000;385394;25024;3268;21756;35012;11587;8141;2393;7251;0;5641;53650;2179;5061;14851;13188;2563;13592;20;2196;6310;2371;2544;0;1375;20;53725;48739;2998;218;0;1771;61313;15348;17466;10010;4916;384;7;13175;0;6;34262;12909;10588;10765;0;11474;0;0;0;8072;838;441;1546;576;37050;25002;4181;499;1623;4239;0;1506;0;67573;1574;0;55059;8376;2564
2019;Nidwalden;3088000;392907;25953;3438;22515;35715;12085;8205;2389;7254;0;5783;52112;2127;5048;14485;12667;2245;13219;17;2305;5994;2074;2203;0;1697;20;57354;52081;2986;248;0;2038;64250;17969;17402;10557;4762;364;7;13182;0;7;31526;14011;16835;681;0;15852;0;0;0;11938;860;870;1528;657;34581;25055;1524;620;1709;4513;0;1161;0;69570;669;0;56855;9728;2317
2020;Nidwalden;0;395713;26517;3051;23466;44217;11641;8747;2695;7478;0;13655;52408;2536;4916;13936;12592;2302;13853;22;2249;6459;2654;2379;0;1416;10;57588;51629;3287;291;0;2380;64439;16751;18598;10465;5079;417;7;13114;0;9;32680;19441;12314;925;0;11795;0;0;0;7887;878;812;1571;647;36052;25053;1679;659;1474;5853;0;1333;0;63559;814;0;53332;7233;2180
1990;Obwalden;0;170421;18617;1199;17419;14138;6287;1825;131;2164;603;3127;16476;1119;1453;5642;5142;348;2122;0;650;1831;324;748;0;750;10;22702;22017;0;578;0;107;11738;78;1992;4646;494;962;1871;1694;0;0;33963;32685;1224;55;0;6820;0;1444;120;3713;358;0;891;295;39147;20348;17550;593;157;329;0;170;1;4989;0;81;1300;516;3092
1991;Obwalden;0;181217;11364;1437;9927;15619;7688;1968;96;2453;570;2844;21319;1306;1450;6588;8739;476;2018;0;741;2781;704;1027;0;1004;45;23838;22921;3;783;0;131;14941;78;2249;5853;578;1353;2325;2505;0;0;39250;38319;915;17;0;7544;0;1152;63;4656;355;0;963;354;37156;22687;12880;636;213;375;0;365;1;7404;0;57;1300;1800;4247
1992;Obwalden;0;199309;10311;1502;8809;15785;7501;2085;130;2663;777;2630;27612;1336;2434;6233;13946;574;2337;0;752;2908;803;741;0;1233;131;25534;24636;1;648;0;248;20312;77;2562;7522;641;4971;2118;2420;0;0;49321;48099;1222;0;0;6266;0;406;96;4169;500;0;788;308;32822;23377;8032;635;234;371;0;169;4;8438;0;87;1300;2229;4821
1993;Obwalden;0;243847;10693;1546;9147;16612;7869;2077;209;2768;699;2989;23965;1866;2146;6264;9573;816;2519;0;781;2608;899;795;0;904;10;28015;26905;2;842;0;266;30789;77;3173;9044;603;12695;2576;2622;0;0;75963;75166;797;0;0;9411;0;1104;49;6480;727;0;766;285;37187;25305;8326;669;234;323;2000;328;1;8604;0;40;1300;1936;5328
1994;Obwalden;0;242597;11275;1759;9516;16744;7981;2368;323;2845;986;2240;22963;1566;3016;6723;7154;843;2778;0;884;3760;1464;726;0;1561;9;35373;34154;0;949;0;271;27921;75;3375;8765;611;10605;1896;2593;0;0;68762;67535;1227;0;0;7226;0;752;23;4366;851;0;918;317;39639;26482;8951;746;235;322;0;2898;4;8934;0;85;2173;995;5681
1995;Obwalden;0;236994;11998;1637;10360;18794;8157;2338;335;4451;1116;2397;24826;1566;3367;6882;7862;891;3330;0;927;2985;746;760;0;1469;10;42558;41229;1;1018;0;310;27892;2368;3398;8726;672;7647;2179;2900;0;0;58444;57565;822;57;0;4869;0;143;-18;2578;1046;0;818;302;35149;24372;9015;698;279;289;0;495;1;9480;0;108;2469;1123;5780
1996;Obwalden;0;262565;12448;1683;10765;20320;8888;2224;209;5663;1390;1946;24821;1671;2289;7255;8010;999;3679;0;917;2906;1251;720;0;935;1;44653;43256;2;1019;0;375;36522;6135;4238;8970;630;10983;1888;3677;0;0;62580;61216;1276;88;0;7447;0;159;121;4982;1052;0;857;277;40300;28265;9553;719;284;270;0;1208;0;10568;900;64;2407;1318;5879
1997;Obwalden;0;248233;14425;1447;12978;18772;8690;2515;278;4324;1152;1814;24883;1648;1649;7093;8508;1221;3739;0;1025;3042;1637;624;0;773;9;39718;38307;2;1010;0;399;41550;8444;4278;7294;849;15051;1820;3812;0;0;45841;44566;1274;0;0;10090;0;392;617;6881;1108;0;877;215;39671;28996;8798;647;284;276;0;669;0;10241;0;0;2408;1709;6124
1998;Obwalden;0;231593;11210;1472;9738;19538;8829;2610;346;4801;1402;1550;25948;1560;1817;7741;8422;3189;2239;0;981;2550;1183;619;0;748;0;39364;37986;4;909;0;466;37442;6344;4281;7773;591;12948;1567;3938;0;0;34491;33015;1476;0;0;12224;0;54;-34;10167;1045;0;795;198;38816;27431;8371;640;149;1605;0;620;0;10010;0;92;2195;2071;5652
1999;Obwalden;0;223695;12409;1443;10966;18729;8848;2479;291;4864;1059;1188;26738;1586;1733;7418;8343;3281;2634;0;1742;2677;1210;780;0;687;0;39631;38164;0;720;0;746;32343;6934;4367;8422;801;5343;1266;5209;0;0;31327;29801;1526;0;0;5262;0;235;5;3710;1059;0;0;254;44528;31939;10273;655;160;463;0;1038;0;10052;0;0;2250;2068;5734
2000;Obwalden;0;257956;13429;1637;11792;20612;9570;2570;305;5799;1250;1119;27725;1394;2070;7877;8355;2017;4266;0;1745;2653;1068;924;0;661;0;42496;41012;0;1060;0;424;31130;11391;4868;8375;749;437;1175;4134;0;0;38631;37058;1573;0;0;8106;0;727;0;5441;1673;0;0;265;61889;32547;27424;605;145;498;0;670;0;11285;987;147;2161;1980;6010
2001;Obwalden;0;270314;14858;1669;13189;19804;8596;2709;376;5803;870;1451;29818;1640;2192;7571;8263;2301;6121;0;1729;3725;1347;793;0;1585;0;43608;41457;0;1611;0;540;32589;12063;4748;9623;756;490;1305;3604;0;0;48060;45189;2870;0;0;12873;0;1208;37;9807;1386;0;189;245;54683;32192;19786;657;164;1090;0;794;0;10297;169;152;2336;1873;5767
2002;Obwalden;0;291929;17249;1667;15582;21274;9504;3129;314;5440;1559;1328;37021;1800;2357;8354;13869;2320;6457;0;1863;3211;1364;1113;0;734;0;44148;41726;0;1722;0;701;35503;14534;5269;8880;611;485;1381;4343;0;0;53890;50523;3367;0;0;14520;0;858;20;11834;1363;0;185;259;55513;31377;21516;681;157;1112;0;670;0;9598;0;0;2214;2240;5144
2003;Obwalden;0;285135;16872;1642;15230;20869;7962;3357;315;6221;1733;1281;34524;1984;3252;9680;8710;1785;7096;0;2016;3543;1281;1224;0;1038;0;45606;43010;0;1130;0;1466;37486;14928;5379;8911;891;568;1550;5259;0;0;59947;54293;5580;74;0;9965;0;700;36;7811;1339;0;40;40;46715;31565;12003;519;0;1117;0;1510;0;9609;0;0;2321;2509;4779
2004;Obwalden;0;282611;17410;1699;15711;19474;7855;3342;282;5619;1276;1100;36490;1950;3210;9686;9721;1562;8460;0;1902;3585;1402;1231;0;853;100;43975;42099;0;1130;0;747;37958;15894;5895;9156;901;565;1468;4079;0;0;63783;57816;5966;0;0;7221;0;1250;0;4310;1213;0;279;170;43628;31244;10152;665;0;862;0;704;0;9087;0;288;2382;1923;4495
2005;Obwalden;0;286236;19497;1687;17811;24602;9049;3738;425;5028;1381;4981;36803;2099;3203;15349;9195;1068;4051;0;1838;4346;1788;1289;0;1069;200;42026;40443;0;958;0;624;38300;15927;5972;8836;876;578;1446;4640;0;26;59528;55562;3966;0;0;5969;0;1093;0;2849;1368;0;240;419;46958;31138;13624;645;0;872;0;678;0;8208;0;0;2438;1771;3999
2006;Obwalden;0;318032;27286;1698;25588;20738;7931;3631;407;5192;1606;1971;48561;1848;3375;21259;10231;506;9605;0;1737;4426;1666;1500;0;1061;200;46074;44529;0;981;0;563;40061;17886;6072;9620;902;591;594;4364;0;30;52026;47035;4991;0;0;7043;0;985;0;3887;1423;0;257;491;57322;34295;20318;682;0;1052;0;974;0;14496;0;0;9472;1860;3165
2007;Obwalden;0;323113;25326;1775;23551;20769;8113;3835;530;5310;1436;1545;40434;1906;4187;12576;10362;449;9178;0;1774;5913;3429;1534;0;950;0;50327;48644;0;1129;0;554;42766;19397;7815;9727;825;615;524;3832;0;31;61096;57796;3300;0;0;7502;0;725;0;4429;1246;0;306;797;54814;33399;18121;682;0;1497;0;1116;0;14165;0;0;9436;1994;2735
2008;Obwalden;2235000;285077;18239;1686;16553;20420;8191;4024;482;4911;801;2011;37512;2004;604;13512;9895;1057;8703;0;1737;4069;1909;1320;0;840;0;25796;24130;0;690;0;976;50164;14646;20108;8320;1624;690;592;4158;0;26;59585;53301;6284;0;0;7701;0;0;0;3832;1347;1444;226;852;48828;33149;12271;695;0;1641;0;1072;0;12763;0;0;10525;0;2237
2009;Obwalden;2221000;319865;20223;1817;18406;25096;12089;4095;526;4960;973;2451;58143;3012;5139;14155;23314;1376;9403;0;1744;5033;2340;1593;0;900;200;28758;26751;0;718;0;1289;46944;14875;11937;9249;4612;407;772;5084;0;8;61104;49669;11435;0;0;13673;0;0;0;8906;1831;1489;230;1217;48558;35293;8937;687;0;2687;0;953;0;12333;0;0;10842;0;1491
2010;Obwalden;2368000;328156;22920;2086;20833;25095;11121;4553;521;5288;1207;2404;69821;2971;6152;14524;32087;1707;10389;0;1991;5126;2104;1503;0;1319;200;27826;25688;0;286;0;1853;47868;17795;11991;9018;3315;233;45;5441;0;31;61328;50746;10320;261;0;9059;0;0;0;3717;1648;1649;237;1808;48438;33559;8783;682;0;3656;0;1757;0;10676;0;0;9936;0;740
2011;Obwalden;2401000;327188;18856;1986;16870;24132;10695;4599;758;5018;1373;1690;60566;1527;7228;15318;20738;1770;10941;0;3044;5731;1834;2143;0;1753;0;35334;33081;0;267;0;1986;47935;18551;12410;9018;2282;220;0;5428;0;26;64199;54837;9022;340;0;12168;0;85;0;6765;1990;2661;239;428;48515;34369;6828;636;0;5257;0;1424;0;9753;0;0;9310;0;443
2012;Obwalden;2397000;315206;19424;2059;17365;24339;10538;4380;713;4907;1754;2046;51208;1676;7894;15719;10125;1348;11413;0;3033;5674;2314;2174;0;1088;99;39209;35642;620;231;0;2717;49892;19304;12077;8835;2731;266;0;6648;0;30;47835;40621;6894;319;0;28301;0;173;0;23370;1378;2882;0;497;42434;33487;1655;657;0;4845;0;1790;0;6890;465;0;5888;0;536
2013;Obwalden;2406000;310792;21134;2015;19119;26950;11255;5349;933;5757;1712;1944;50604;1787;7776;15706;10377;1710;10284;0;2964;6024;1799;2026;0;2113;86;54374;50876;655;225;0;2618;50942;19667;12097;9521;2837;266;0;6525;0;30;29538;20371;8796;371;0;22082;0;78;0;17226;1462;2785;0;532;41101;33371;1609;641;40;3954;0;1485;0;8042;1200;0;6199;0;643
2014;Obwalden;2419000;298389;19491;2067;17424;25434;10041;5066;694;6383;1149;2102;51639;1706;7477;15895;10289;1899;11276;0;3098;5344;1483;2167;0;1617;77;49798;45685;677;224;0;3211;49863;17767;12411;10039;3145;254;0;6222;0;25;21711;13029;8313;369;0;25138;0;104;0;20523;1399;2444;0;669;42309;35855;1566;661;0;3031;0;1196;0;7662;496;0;6567;0;600
2015;Obwalden;2436000;283885;19756;2012;17744;26580;9540;5390;758;6796;2056;2041;51432;1718;7326;15693;10015;2017;11475;0;3188;5857;1953;2291;0;1573;40;42435;38419;695;225;0;3096;51202;17731;12474;10372;2939;254;0;7406;0;26;19142;12179;6581;382;0;14700;0;86;0;10511;1299;2184;0;619;45096;35650;1460;597;0;5747;0;1642;0;7684;644;0;6358;0;682
2016;Obwalden;2498000;306140;21029;1938;19091;25020;9770;5472;679;6425;979;1695;53793;1562;7508;15481;12108;2281;11756;0;3096;6057;1237;2570;0;2250;0;49959;46006;675;254;0;3025;54574;19196;13033;10623;3369;270;0;8058;0;25;22107;13525;8140;442;0;21665;0;87;0;16983;1284;2617;0;694;42359;35188;1409;590;259;4158;0;756;0;9578;579;0;8595;0;404
2017;Obwalden;2502000;287921;21538;2087;19451;25459;9813;5890;502;6154;1298;1801;51585;1680;6783;16162;9784;2382;11551;0;3243;5701;999;3021;0;1682;0;40983;37059;736;225;0;2963;56164;20226;14098;11507;3214;270;0;6824;0;25;16514;7935;8216;363;0;20110;0;83;0;15871;1193;2224;0;739;42132;35233;1402;584;355;2317;0;2240;0;7735;455;0;6850;0;430
2018;Obwalden;2549000;310941;20576;1997;18579;27339;9487;5582;972;6296;1297;3705;49592;1542;6928;15686;9206;2253;10916;0;3061;4590;1391;2133;0;1067;0;42870;38794;770;238;0;3068;58444;22624;14905;11432;4052;257;0;5149;0;25;19574;6889;12358;327;0;36550;0;64;0;31786;1161;2571;0;968;42268;35079;1279;654;304;2242;0;2710;0;9137;511;0;8211;0;415
2019;Obwalden;2664000;334322;20537;1939;18598;28150;9041;5577;1126;6565;2029;3813;52284;1682;7353;18283;9242;2158;10544;0;3021;4961;1552;2225;0;1183;0;43372;39163;808;232;0;3169;57476;21288;14821;11764;3668;265;0;5645;0;25;21441;10129;11161;151;0;44152;0;74;0;40231;1195;1933;0;719;42033;35265;1587;622;306;2182;0;2071;0;19916;481;0;19178;0;257
2020;Obwalden;0;349090;21426;1903;19523;25916;9676;5398;1275;6532;1664;1371;51446;1474;6839;18555;8367;2271;10835;0;3103;4711;1476;2296;0;939;0;47646;42813;813;529;0;3490;56604;19985;14944;12201;3209;301;0;5938;0;25;27536;17831;9671;34;0;50991;0;77;0;47150;1203;1899;0;662;46423;34997;2576;625;366;6442;0;1416;0;16393;307;0;15852;0;234
1990;Schaffhausen;0;370860;20661;1878;18783;32703;13086;5447;1881;7629;9;4652;68083;27331;589;18931;14030;1496;4162;0;1544;6668;1810;697;0;1177;2984;106729;101308;506;4480;0;436;38548;629;9797;20129;265;781;218;6666;0;62;65379;63208;2150;21;0;4354;10;1750;79;1365;386;0;120;644;14090;7689;5667;103;236;194;0;201;0;13646;611;0;2694;772;9568
