Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;R&D culture, sport and leisure, church;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2011;Glarus;2608000;342212;34855;2073;32782;29252;12750;5227;1404;6618;903;2350;58061;6445;11475;18336;10346;1287;9326;0;847;5727;2657;2051;45;974;0;0;61349;59169;723;1089;0;369;73390;17054;16512;8418;6060;3008;0;22338;0;0;18647;12059;6588;0;0;9967;0;61;68;7243;1147;299;1150;0;36979;26423;7325;887;70;1273;0;1002;0;13986;32;0;1647;9132;3175
2012;Glarus;2617000;304781;19304;2305;16999;29240;12602;5477;1132;6694;799;2537;60728;5739;14562;17010;10747;2098;9657;0;915;5029;2197;1929;31;872;0;0;47261;45206;719;992;0;344;73253;14415;17255;8359;6650;2853;0;23720;0;0;18042;12314;5728;0;0;6771;0;134;82;2673;1188;1344;1144;206;38153;27264;6914;900;0;1314;0;1761;0;7000;83;0;1647;2747;2521
2013;Glarus;2732000;320318;20658;2186;18472;30334;13898;5348;1359;6300;801;2628;63803;5353;13702;18450;12748;2330;10268;0;953;5359;2259;2240;24;836;0;0;43239;41007;744;1181;0;307;80969;15799;18927;9716;7321;2901;0;26306;0;0;16340;10349;5990;0;0;7709;0;263;59;2414;1253;2285;1180;255;44069;28716;6362;1293;47;1382;0;6268;0;7838;366;0;1636;2985;2850
2014;Glarus;2779000;343824;19650;2235;17415;30717;13504;4857;1899;6228;963;3265;66265;6867;13358;17395;14690;2283;10772;0;901;4896;1559;2481;14;842;0;0;46399;44797;124;1143;0;336;84306;13954;19736;10515;7498;2785;0;29817;0;0;16489;9766;6723;0;0;4873;0;153;68;1058;950;1283;1189;171;58721;31591;9099;973;123;1589;7974;6537;835;11508;613;0;5136;3124;2635
2015;Glarus;2755000;340180;23188;2062;21126;30541;13110;4896;2172;6530;994;2840;65262;5767;14023;16735;14464;2581;10826;0;867;4999;1781;2278;23;917;0;0;44140;42560;119;1037;0;425;88486;15393;22811;10846;7824;2860;0;28751;0;0;18935;10226;8709;0;0;6968;0;221;74;2537;948;1764;1179;244;47091;31792;7335;923;168;1528;0;5346;0;10570;789;0;5136;3479;1166
2016;Glarus;2756000;341756;19412;2226;17186;31250;13370;5740;2100;6742;973;2324;61490;5770;12893;16989;10784;3287;10859;0;909;5374;1578;2183;4;1609;0;0;45230;43756;111;970;0;393;85821;15582;19346;11301;7556;2815;0;29220;0;0;26266;12883;13384;0;0;8620;0;129;77;1680;1227;3576;1606;324;51541;33110;8797;997;162;1525;0;6950;0;6752;636;0;1604;3575;938
2017;Glarus;2887000;348089;19995;2289;17706;33343;14137;5596;2280;6729;957;3644;62741;5498;12713;17232;12139;3274;10999;0;886;7417;2076;2271;30;3041;0;0;46510;45048;109;976;0;376;85496;17825;19238;11521;6892;2989;0;27031;0;0;24848;13431;11418;0;0;6273;0;155;73;1437;1227;1725;1278;378;55060;34194;9285;1040;220;1348;0;8963;11;6405;485;0;1572;3761;587
2018;Glarus;2826000;349478;19814;2410;17404;34645;13869;6094;2476;6945;1056;4205;60141;5419;12494;17247;10206;2940;10909;0;927;6056;2147;2243;4;1662;0;0;46821;45073;178;1172;0;398;86992;18731;18181;11695;7022;2851;0;28511;0;0;24495;13577;10917;0;0;9231;0;121;50;3842;1283;2131;1492;313;54450;33227;9305;982;208;1482;0;9246;0;6833;584;0;2276;3602;371
2019;Glarus;2932000;359174;19953;2541;17412;36123;14249;6648;3328;7333;1202;3361;62389;5116;13507;18312;10350;3003;11102;0;999;8621;3667;2100;7;2848;0;0;49077;47071;167;1117;0;723;88756;19288;25804;12301;7718;2702;0;20942;0;0;31147;20149;10969;28;0;14557;0;0;79;9327;2284;1162;1482;223;41064;34114;1551;1026;130;1538;0;2705;0;7487;531;0;2995;3599;362
2008;Fribourg;16358000;2702345;122839;5731;117108;229964;92870;51772;39823;35863;569;9066;1011923;314600;64215;146887;84987;5464;342330;45081;8360;46916;18247;22569;0;6100;0;0;302101;274836;5224;13094;0;8948;459098;123033;126770;82399;42599;20520;7415;56216;0;146;191289;140838;50009;443;0;22078;0;3891;784;3805;1215;1670;6468;4245;248801;204955;23787;2002;3397;12474;0;2187;0;67335;11155;0;7007;23195;25978
2009;Fribourg;15980000;2865745;141950;5661;136290;235207;94419;53245;39619;38899;344;8681;1062892;336710;77148;152002;87844;7446;348004;44922;8815;52710;19292;24375;0;9044;0;0;335040;305124;5538;14454;0;9924;482018;132157;136586;81181;42609;23813;7528;57974;0;170;188334;130322;57658;353;0;20932;0;1408;1992;3465;1431;1671;6724;4242;282030;230993;26483;2219;3330;13587;0;5418;0;64631;9362;0;7007;23969;24293
2010;Fribourg;16543000;2983096;134213;5394;128819;245692;99813;56266;40730;39643;442;8798;1126845;347367;78417;159014;96465;11139;374414;50954;9076;49580;19586;24340;0;5654;0;0;348057;316797;6455;15491;0;9315;517555;147192;144293;82929;42610;24588;7558;68205;0;180;171456;108472;59136;3848;0;27468;0;2167;1390;4860;2132;5470;7170;4279;295683;232356;23338;2142;3748;19639;0;14460;0;66548;11516;0;7007;24509;23516
2011;Fribourg;16933000;3154816;166240;6975;159265;250556;106974;58705;37168;38130;603;8976;1169566;359866;83354;160651;106059;10697;387951;51773;9216;49819;19123;26071;0;4625;0;0;381537;347343;6909;17820;0;9465;546449;157811;149743;101607;44955;24345;7192;60776;0;20;194234;113224;67032;13978;0;30920;0;1162;1016;5549;2090;9041;7545;4518;291948;241292;24410;2278;3607;16243;0;4117;0;73547;9776;0;16248;25386;22136
2012;Fribourg;17046000;3180337;152161;5795;146366;256568;105211;60859;41868;39718;601;8311;1209079;371110;84043;153830;112437;6908;410384;60810;9559;50837;19632;25614;0;5591;0;0;389133;353110;7538;20109;0;8376;568642;162261;149961;96477;49367;25802;7286;77295;0;193;164016;100816;57684;4016;1500;34451;0;403;1138;7340;1345;11724;7917;4584;287198;234980;24212;2173;3651;16086;0;6096;0;68254;9193;0;16575;26223;16263
2013;Fribourg;17897000;3283291;150040;5890;144149;274157;117180;65635;41290;39377;1235;9441;1222286;378620;83792;154232;107230;7746;422655;58287;9723;50656;18925;27004;0;4727;0;0;435413;398078;9072;21498;0;6766;592449;164890;157819;105083;53230;28147;6930;76150;0;200;177156;110246;60948;5962;0;30213;0;249;1046;6254;1938;7922;8090;4714;288381;233101;30693;2224;3707;10856;0;7339;460;62542;5203;0;16550;26799;13989
2014;Fribourg;18524000;3275682;167655;5507;162148;262788;104343;68878;41832;37807;1089;8839;1245257;380123;84031;160386;102091;7887;439150;62245;9343;47584;18095;24713;0;4776;0;0;438619;402489;8015;21062;0;7052;588385;152002;163081;103980;51960;29292;6847;81003;0;220;164912;87557;76791;563;0;39349;0;0;882;2017;4459;19235;7913;4843;278491;224613;27106;2268;3667;12997;0;7840;0;42642;1547;0;16752;20172;4172
2015;Fribourg;18530000;3301045;141056;6537;134519;291249;115036;68218;41435;38218;697;27646;1248970;372588;82699;154532;98497;8505;454061;68583;9505;48615;18820;24970;0;4825;0;0;450086;412919;9312;20893;0;6962;603086;147381;171076;102664;54856;29122;6536;91221;0;230;151711;85256;65631;499;325;37045;0;142;930;2358;4986;15121;7910;5597;282606;229089;24222;2298;3650;13077;0;10270;0;46622;4945;0;17125;20653;3900
2016;Fribourg;18556000;3354543;164477;7222;157255;292029;117527;72095;43750;37770;1156;19730;1259313;382541;85602;156807;95382;8859;450343;70309;9472;50475;19293;25853;0;5328;0;0;446996;409192;8980;21503;0;7322;633656;151490;174329;105784;54770;30808;5943;110292;0;240;138118;65428;72202;488;0;37583;0;1600;1001;1700;3493;16987;7427;5375;279517;228545;26040;3278;3653;10975;0;7026;0;52378;9333;0;17648;21168;4229
2017;Fribourg;18933000;3451229;153266;5846;147420;304104;132939;72413;44749;39460;1160;13382;1316106;398406;91185;164183;99930;9463;469084;74251;9603;50231;18815;26421;0;4995;0;0;454428;413792;10352;22464;0;7821;646207;161195;174960;107248;55605;31961;5351;109626;0;260;151071;77188;73283;600;0;41727;0;494;985;1462;5500;18153;9665;5468;282448;227112;24676;2284;3647;17293;0;7435;0;51643;8496;0;17856;21482;3808
2018;Fribourg;19385000;3564349;185111;7025;178086;296812;120120;74164;46589;39958;346;15634;1362002;403517;92885;165497;105340;10429;497807;76411;10116;53985;19189;29662;0;5134;0;0;461567;419230;11298;22754;0;8286;669034;169578;182483;108370;57894;31391;4292;114757;0;270;155991;81183;74210;599;0;42311;0;-261;1073;4320;4827;16917;10026;5410;283605;223822;27077;2193;3795;15840;0;10877;0;53931;9514;0;18061;21852;4503
2019;Fribourg;19828000;3617754;209767;6734;203033;297244;119679;78217;48038;39016;273;12021;1351411;406499;91131;162639;111845;10357;484886;73807;10247;67470;20136;35179;0;12155;0;0;497031;452780;11133;24275;0;8842;677055;174157;187089;112436;59618;32434;3158;107893;0;270;133687;63506;69732;450;0;33719;0;0;1046;3309;3579;9641;10361;5784;294317;223639;28269;2904;3899;21738;0;13867;0;56051;11188;0;17909;22007;4948
2008;Solothurn;16885000;1850694;108253;3847;104406;216282;94635;40491;31865;41208;0;8083;461956;101119;62832;88055;73775;3641;129662;0;2871;37649;7174;8896;331;3217;18031;0;293934;287447;0;3888;0;2599;331191;96073;113144;77680;9428;15225;143;19397;0;100;202892;161685;41206;0;0;25413;1663;1152;1208;3388;3801;4799;6356;3045;101010;86688;6806;1041;200;5708;0;567;0;72115;18581;0;18968;0;34566
2009;Solothurn;16275000;1822566;118085;3500;114585;212538;90170;40133;32773;41003;0;8459;446607;105743;76142;94155;68739;5545;93279;0;3004;34775;7374;8729;623;3502;14546;0;295657;288938;0;3960;0;2759;353739;106543;117147;82511;1335;17717;83;28304;0;100;159860;111228;48632;0;0;25920;1716;1349;1284;2502;3919;5505;6492;3154;114094;95805;7550;1075;300;5282;0;4082;0;61292;15940;0;18190;0;27162
2010;Solothurn;16831000;1904625;120905;3543;117362;219770;89530;42777;36326;43616;0;7521;453047;108965;71752;94820;65909;9804;98732;0;3066;35712;7620;9077;506;3321;15189;0;305198;297827;202;4422;0;2747;389408;124575;124117;90455;1049;18521;154;30436;0;100;174121;121500;52621;0;0;35714;2499;3278;1260;8439;4680;6981;5118;3460;113149;94203;7183;1100;280;4768;0;5615;0;57602;16851;0;18180;0;22570
2011;Solothurn;17111000;2015684;126492;3583;122908;232625;89903;44248;44035;45985;0;8454;484798;132202;72013;95664;65439;6383;110089;0;3008;37457;7265;10709;764;3456;15263;0;305598;298121;202;4554;0;2722;417032;127136;131186;103936;960;17656;60;35998;0;100;185525;127797;57727;0;0;46271;1903;2843;1134;15064;4610;12442;5169;3107;115526;94793;6264;1148;300;4716;0;8305;0;64359;14655;0;33814;0;15890
2012;Solothurn;17296000;1988974;88632;4274;84358;238811;92562;42840;51757;43974;0;7678;482626;133151;61355;92910;67492;9660;111195;0;6863;38075;8108;11291;912;4950;12814;0;360102;353268;202;3773;0;2858;418162;125230;138169;93361;5673;16633;52;38943;0;100;142310;84474;57836;0;0;38607;1118;1584;1141;7355;4586;15723;4168;2933;115055;98826;6102;1075;300;3984;0;4767;0;66594;16348;0;33790;0;16456
2013;Solothurn;17605000;2085689;171965;4116;167850;260847;94959;41378;68140;49259;0;7111;483192;133382;72784;87285;66149;11966;101983;0;9643;37310;7093;11336;722;5954;12205;0;340457;333558;202;3979;0;2717;430022;126731;141938;96070;6881;16644;118;41541;0;100;155087;89277;65810;0;0;35749;853;3504;998;5287;4459;14261;3525;2862;108819;93711;6131;1414;300;3820;0;3442;0;62241;14131;0;33437;0;14673
2014;Solothurn;17931000;2039960;128825;4037;124788;251621;95832;42513;54530;49386;0;9360;480987;132951;68965;94811;68295;12183;94270;0;9511;42018;9106;13981;834;5995;12103;0;361984;355306;202;3819;0;2658;428476;120244;144521;97529;7877;16483;22;41700;0;100;132973;67971;65001;0;0;37145;807;2216;1038;6595;4845;15065;3467;3112;106693;89084;6179;1159;300;7301;0;2671;0;69237;16649;0;33369;0;19219
2015;Solothurn;17946000;3195976;1236464;3737;1232727;245518;97821;41962;46883;49675;0;9178;481443;138940;73828;86265;68469;11910;92615;0;9415;45548;13517;12790;779;5874;12588;0;367498;360809;202;3849;0;2639;477705;136750;152466;109521;8762;16360;26;53719;0;100;126403;66961;59442;0;0;40086;1677;3355;954;6855;5413;15053;3827;2951;105782;90425;8144;1198;300;3635;0;2080;0;69528;17640;0;33489;0;18399
2016;Solothurn;18004000;2196822;127542;7917;119625;252166;101977;42596;47423;51906;630;7633;482698;117233;75868;100047;73843;13399;92417;0;9891;45455;11745;14189;754;5241;13527;0;401109;393989;202;3811;0;3107;532865;156208;164760;115014;8812;17734;25;70211;0;100;134296;75951;58345;0;0;41924;1284;3457;1148;11826;4931;11756;4498;3024;103391;89519;6650;1336;321;3288;0;2277;0;75376;17030;0;41501;0;16845
2017;Solothurn;18220000;2373400;125955;4052;121903;254408;102693;42967;47489;51835;1532;7892;482752;119538;80482;88123;78908;13186;92401;0;10114;40729;9663;10610;713;6069;13674;0;551627;544424;202;3564;0;3437;540736;166072;157728;115114;9513;18018;19;74171;0;100;132311;73990;58321;0;0;63259;3191;1713;1070;29725;5276;15637;3869;2779;105844;90416;7043;1209;339;3140;0;3655;41;75780;16541;0;41461;0;17778
2018;Solothurn;18629000;2231808;121983;4117;117866;249513;100771;44194;47283;49753;147;7366;484726;121708;78645;93983;68267;20717;90911;0;10494;38734;8674;12428;649;5664;11320;0;416524;408483;202;3919;0;3920;550562;165360;164205;114842;11018;17871;11;77155;0;100;130788;73236;57552;0;0;53303;1903;907;1088;23294;5596;12683;4296;3537;108413;90212;7106;1377;321;3192;0;6206;0;77262;18266;0;41534;0;17461
2019;Solothurn;18879000;2270361;129623;4441;125181;257208;104591;46079;49719;50588;0;6231;492082;121672;82707;79085;84940;20538;92939;0;10202;35934;9125;9571;562;4868;11808;0;436659;427941;202;4309;0;4207;559916;169346;171130;120450;11300;17821;16;69753;0;100;124319;66037;58282;0;0;48645;3744;1518;1135;15460;5074;13106;5132;3476;109904;91142;8408;1215;333;3156;0;5649;0;76071;17991;0;41521;0;16559
2008;Basel_Stadt;31109000;4391283;797216;5964;791252;353325;148775;65299;39438;66107;27878;5830;1110294;287201;78686;178182;61690;3776;367748;105629;27383;246449;80568;70541;0;95340;0;0;589784;408931;26034;22203;79800;52817;717051;119670;224576;92145;102378;29941;5823;140277;0;2240;151203;142540;6710;1954;0;116396;122;32031;56471;0;117;0;19271;8383;45388;6428;626;582;2004;32203;0;1307;2239;264177;0;0;116346;0;147831
2009;Basel_Stadt;30720000;3900672;194842;7283;187559;335943;139064;65123;42163;54514;28353;6726;1154741;303171;76678;165751;63490;192;374475;139050;31935;223173;91171;66345;0;65658;0;0;648019;464198;26831;25080;80600;51310;769345;120162;196507;134218;122442;30155;2273;163588;0;0;127781;117608;10173;0;0;91412;640;33655;29132;427;325;0;19855;7378;85261;3718;613;664;1939;79105;0;-154;-624;270155;49061;0;114820;0;106274
2010;Basel_Stadt;31151000;4190201;385192;6541;378651;346630;146949;66414;43111;55009;27483;7664;1184172;320257;70089;155148;62482;200;357629;182660;35708;231160;94693;66194;0;70274;0;0;633401;452269;26289;22712;81693;50438;793272;123891;185316;134559;125645;28629;3223;192009;0;0;125163;106494;18669;0;0;94955;502;36605;29263;1044;402;0;18375;8763;140128;8584;524;650;2679;36805;0;76120;14765;256128;43645;0;113503;0;98979
2011;Basel_Stadt;31936000;4200959;366745;6404;360342;364194;132933;90982;47777;57148;27630;7723;1217027;334569;71790;155683;60771;508;392525;165151;36030;241940;97387;68262;0;76292;0;0;649369;460749;26255;28492;82138;51735;832573;129841;211407;135933;122579;31325;4313;197176;0;0;126354;100122;26232;0;0;96338;616;40256;29319;1017;335;0;16152;8643;34587;3160;448;673;2061;32752;0;-1096;-3410;271833;45636;0;132077;0;94120
2012;Basel_Stadt;32160000;4509177;216328;6541;209787;385150;137744;97085;54372;61081;26725;8142;1319787;351878;71562;160659;76354;250;456112;161275;41696;264909;110452;71847;0;81769;841;0;885054;619648;24994;26365;156252;57795;886442;135512;222390;145867;126478;32916;5210;216422;0;1648;177961;99812;78149;0;0;87397;501;34107;28278;287;636;0;15146;8442;17048;3176;307;642;2041;15867;0;-822;-4163;269099;33783;0;151497;0;83819
2013;Basel_Stadt;32379000;4546228;247107;7562;239545;419097;147644;105225;54223;75280;21148;15576;1374163;417247;44645;168614;73088;27796;436887;154408;51479;251703;100246;72092;0;78495;870;0;605162;351925;25520;26107;153797;47813;897637;120109;257361;147455;136559;30400;3467;200634;0;1652;310715;112729;170302;11385;16299;85641;0;30958;25174;1561;1415;5471;12182;8664;16642;3031;331;1059;2013;6954;0;2699;553;338362;44567;0;171438;0;122357
2014;Basel_Stadt;33050000;4715420;284046;9159;274887;426341;147123;109405;58681;75033;21301;14797;1454823;468133;42329;151644;82006;27308;454274;176898;52230;291506;117777;89100;0;83894;735;0;607410;353888;25784;23593;153733;50411;969595;137862;250997;158076;142622;29654;3182;245553;0;1650;252397;115316;123897;12846;339;82421;0;30127;24726;1856;1220;5629;10944;7841;23592;3293;386;975;2106;13245;0;2833;753;323288;22488;0;165870;0;134930
2015;Basel_Stadt;33747000;4959614;354331;7423;346908;429640;145180;111755;57797;76938;20702;17268;1533618;509618;40789;131870;86726;27428;495453;191134;50599;335580;129130;111462;0;94781;0;207;609619;347965;26975;22980;156669;55030;903757;144175;224326;132149;142473;30002;3058;225924;0;1650;283723;108768;165405;9319;231;91464;0;29313;29139;3834;1502;5806;14118;7714;117843;388;467;443;2007;11150;100000;2856;532;300038;28460;0;161596;0;109983
2016;Basel_Stadt;35992000;5350405;757458;8950;748508;437152;147202;112312;63692;76770;22158;15019;1596867;508900;61619;131510;89491;26545;547779;176640;54384;311952;102075;96140;0;112085;440;1211;619993;377794;28632;20339;144516;48712;926742;150576;227952;137623;135796;25952;3005;244188;0;1650;270713;94833;159722;15925;233;114582;0;28068;29570;6131;1564;22953;18019;8234;18499;356;428;393;2003;12014;0;2833;471;296446;32834;0;160836;0;102777
2017;Basel_Stadt;38212000;4970282;450862;8143;442719;454664;151705;115729;73020;79599;21386;13224;1529616;461646;62300;134513;90286;24946;515843;184881;55201;310590;85880;93494;0;130422;790;4;590164;349427;28240;19840;144056;48601;943223;161320;230116;139634;136183;25082;3179;246059;0;1650;269855;95342;157281;17031;201;96208;0;27062;28959;7338;1563;5533;17532;8097;16007;402;567;368;2008;9301;0;3032;329;309093;25439;0;171071;0;112583
2018;Basel_Stadt;39071000;4877917;339545;8125;331420;458763;143955;116564;80646;80366;21728;15503;1538859;475970;64472;138777;93225;24492;487773;198763;55387;319492;89279;96742;0;133339;132;0;583682;352844;26873;19124;135391;49451;964485;167345;240646;145595;138212;24406;3685;242595;0;2000;234532;88971;128809;16562;191;96553;0;28763;28288;9981;1714;6111;13449;8139;23728;378;569;349;7623;11359;0;2999;450;318279;43687;0;176806;0;97786
2019;Basel_Stadt;39193000;4867577;318036;10831;307205;459970;148868;119353;72215;82528;22596;14409;1525992;497028;69177;132971;85721;24407;452520;209709;54459;301285;96228;96466;0;108590;0;0;609984;368545;28724;19631;137006;56078;972660;173322;246085;146176;140603;23096;3669;237724;0;1985;237024;88721;135511;12669;122;109754;0;45871;28193;4962;1595;6792;13410;8843;37448;292;580;362;8064;11827;0;15893;431;295423;26558;0;178889;0;89976
2008;Basel_Landschaft;18743000;2318522;147957;3742;144214;232777;78671;59789;26479;47960;78;19799;721430;249274;49503;106484;91332;2613;204033;0;18190;60339;14858;21673;0;13103;10706;0;253222;238310;641;11405;0;2866;400211;93862;123844;95687;36746;14231;660;33741;0;1440;207803;139357;68103;343;0;48987;419;10787;462;6950;8157;5329;14868;2015;70630;55884;5176;1836;0;6233;0;1501;0;175167;26603;0;102913;1667;43984
2009;Basel_Landschaft;18428000;2430786;163195;4062;159134;233320;81374;60698;28223;50917;0;12107;748556;257618;50772;114499;93914;3505;207886;0;20361;59201;17302;21211;0;9909;10779;0;307616;291017;806;12721;0;3071;420024;98796;131381;92684;40707;16848;591;37276;0;1742;218306;142611;75321;374;0;52937;394;14119;71;6029;8800;7345;13929;2250;77626;60330;6211;1891;0;8622;0;572;0;150005;12106;0;98472;1521;37906
2010;Basel_Landschaft;19112000;2431775;189729;3925;185804;235485;82710;58457;28599;57477;0;8242;750622;222956;55408;113467;89847;10365;238460;3000;17118;62187;21044;20266;0;10212;10665;0;297598;281210;544;12421;0;3424;454940;122531;139630;95784;39323;20498;850;34666;0;1658;213894;141425;72469;0;0;69361;1102;8093;39;6113;9858;30470;9263;4423;79211;61672;5997;2036;600;6355;0;2551;0;78750;14593;0;31832;1461;30864
2011;Basel_Landschaft;19434000;2740571;216938;3856;213082;247884;82596;67048;26837;62640;0;8763;982617;404275;56719;130790;95600;11953;275475;2800;5004;52270;14509;21413;0;5800;10548;0;305228;290778;515;11053;0;2882;481171;126692;174700;80796;41379;19703;0;35854;0;2048;218579;147778;70801;0;0;81949;1344;10181;422;6412;10363;41075;7005;5146;74919;56470;5351;1989;600;9332;0;1177;0;79017;12192;0;26641;1574;38610
2012;Basel_Landschaft;19324000;2599082;303228;4119;299109;253347;82206;76377;31386;54689;550;8139;730177;188734;58912;126859;95593;15559;236491;3400;4628;54193;15081;22247;0;6506;10358;0;342624;331181;311;9346;0;1786;480260;119799;156197;107100;40957;20108;0;34816;0;1285;230368;157760;72609;0;0;51035;1407;11072;470;5994;9305;10430;6745;5611;70817;56224;5437;2069;600;4816;0;1672;0;83033;14091;0;34294;1426;33222
2013;Basel_Landschaft;19623000;2695136;210592;4107;206486;269989;84850;91869;34273;50066;1049;7882;753517;203804;60507;128580;94186;14515;243522;3000;5404;55451;17102;21393;0;6759;10197;0;420022;407913;261;10006;0;1843;509317;128103;161410;112982;40694;19513;0;45677;0;937;267759;174276;93483;0;0;56909;962;12925;655;4900;9135;18368;4770;5194;76150;56893;5347;2105;600;6765;0;4440;0;75429;13893;0;26805;1616;33115
2014;Basel_Landschaft;20251000;3704955;1250641;3991;1246650;253604;83930;82144;35064;44066;192;8209;758021;185001;58733;114511;88355;12971;274815;3000;20635;55185;16946;21442;117;6589;10090;0;434395;420559;438;9793;0;3605;524805;127287;159347;123211;47227;22470;0;43968;0;1295;214346;115658;98688;0;0;52151;556;5979;680;5810;12868;15556;5795;4908;78397;59827;6611;2081;600;5439;0;3840;0;83410;13642;0;34089;1595;34083
2015;Basel_Landschaft;20142000;2722076;219487;4065;215422;233923;84240;66240;34167;40956;206;8114;801065;188758;60023;113804;86901;14038;312959;3000;21583;55461;17315;21079;128;6944;9995;0;431230;417173;438;9552;0;4067;538463;128357;173174;114080;46319;22222;0;52809;0;1502;200252;110260;89993;0;0;50681;14;7293;292;5848;12951;14077;5893;4314;65854;50368;6053;2001;600;6736;0;97;0;125659;12551;0;56867;1594;54647
2016;Basel_Landschaft;20138000;3002357;452179;3948;448231;230460;81941;64162;35762;39515;430;8650;815786;160017;63777;112533;94370;14753;349593;3000;17743;54196;16208;21787;50;6427;9723;0;412779;395057;438;10800;0;6485;546392;121776;175499;113815;49995;21679;0;62547;0;1082;208268;108670;99598;0;0;63789;946;9845;1291;4955;13938;23000;5769;4045;64729;49547;6701;13;600;5956;0;1913;0;153780;16398;0;84240;1728;51414
2017;Basel_Landschaft;20798000;2877579;165737;3916;161821;231785;83116;64761;36039;39731;0;8139;859470;160312;77585;121667;83040;15773;381229;3000;16864;58292;15517;22163;0;11051;9561;0;449210;424684;438;10447;3278;10363;551465;131475;186352;111403;47082;20819;245;52741;0;1348;160336;72329;88007;0;0;82863;248;6377;1100;5980;14169;45969;5692;3329;76200;51259;5765;817;600;8959;0;8800;0;242221;18443;0;128226;1756;93795
2018;Basel_Landschaft;21046000;2823809;184473;3896;180578;241605;82370;66012;41901;41572;0;9751;857119;158591;75127;113783;93087;15403;381913;3000;16215;56623;14457;24145;0;8530;9492;0;412978;391696;603;9499;0;11180;554506;136098;177732;115586;47553;21538;414;54560;0;1026;186172;85422;100749;0;0;91593;925;10546;2041;5406;15357;49123;4985;3211;73308;53814;5162;1083;1634;8329;0;3287;0;165430;14575;0;109384;2010;39460
2019;Basel_Landschaft;21062000;2896199;164739;3900;160839;238257;85670;68047;40481;34603;0;9455;774139;170330;78287;116298;99661;14292;277156;2000;16117;58764;18307;23186;0;7856;9415;0;582450;560067;629;9407;0;12347;571508;159012;188980;99542;47423;22764;647;51994;0;1146;211299;110594;100705;0;0;80431;618;12746;3724;4881;16154;32757;6288;3263;74731;52392;6691;869;1687;9443;0;3625;0;139881;17100;0;82847;1786;38148
2008;Schaffhausen;6355000;590169;37698;2863;34835;78376;35255;11470;7360;14319;6349;3622;143169;62216;0;35586;22863;2224;18788;0;1492;9633;1616;2067;90;1855;4005;0;91368;80040;2395;7988;0;945;124333;36982;40174;19685;495;9913;0;16914;0;170;37669;25742;11912;15;0;3078;0;0;147;1073;393;84;85;1296;45017;35652;3312;219;51;4636;0;1148;0;19829;2618;0;6431;4344;6435
2009;Schaffhausen;6203000;615413;42230;2831;39399;78744;33155;11902;7474;15510;6870;3833;149165;68380;0;36495;20210;3106;19336;0;1637;9090;1582;2102;100;1242;4064;0;91959;82454;625;7891;0;989;133025;37233;39801;25763;958;10917;0;18207;0;145;31965;17535;14383;47;0;4385;0;0;152;1276;592;45;123;2197;54426;38511;3357;199;588;8514;0;3257;0;20425;2923;0;5919;4383;7199
2010;Schaffhausen;6724000;638475;42158;2764;39394;80371;33662;11506;8164;15946;7309;3784;153188;48069;21353;36105;22023;2935;20937;0;1766;12747;2622;1782;0;4279;4064;0;95767;86645;684;7469;0;969;141628;42592;40161;25669;999;12141;0;19916;0;150;34884;19505;15363;17;0;4234;0;0;139;1582;421;0;79;2012;54152;38668;3396;206;541;5307;0;6034;0;19345;4647;0;5946;4311;4442
2011;Schaffhausen;6840000;669758;42765;2782;39983;81333;34231;13676;8351;15789;5764;3522;156240;46682;22313;36638;23637;2529;22667;0;1775;10497;2927;1927;30;1539;4075;0;92465;83511;667;7215;0;1071;158341;50285;42950;30767;964;12446;0;20759;0;170;51272;32404;18868;0;0;5903;0;0;128;2041;370;1504;62;1798;55304;39239;3407;141;589;6649;0;5280;0;15638;2355;0;5729;4514;3040
2012;Schaffhausen;6917000;674478;41165;2851;38314;80629;34836;12582;8583;14751;6287;3591;153229;47139;22197;36258;20227;2478;23354;0;1576;9798;2157;2009;15;1564;4054;0;100624;92010;242;7290;0;1081;153784;43348;44120;31056;1332;10459;0;23298;0;170;54293;25356;28937;0;0;4437;0;0;139;1600;492;518;35;1653;60997;39658;3191;184;553;7968;0;9443;0;15522;1923;0;5627;4347;3627
