Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
2018,702605,40235,2715,37495,25,,87950,39858,16194,10991,14738,3184,2986,,149030,43960,21990,33440,17374,4698,25391,,2176,9537,2858,1123,,1876,3680,,114603,102665,4787,5431,,1720,180184,58542,44923,24994,3854,11722,,35935,,214,38116,19088,19027,,,,7643,,,36,1684,1018,1393,2255,8,1251,61279,38654,3056,338,850,6975,10000,1256,,150,14029,2152,,4007,,4187,3684,,,Schaffhausen
2019,713307,40273,2913,37335,25,,83351,36429,16030,10373,14893,2654,2973,,151970,44539,21846,34887,18028,4661,25736,,2271,8226,2022,786,,1706,3711,,122498,110226,5143,5394,,1734,185110,58964,45337,26289,4000,11484,,38819,,217,41751,19874,21877,,,,8395,,,36,2196,1234,1430,2355,7,1137,57103,39667,4034,344,787,4730,5000,2300,,241,14630,2618,,3548,,4354,4110,,,Schaffhausen
2020,779741,46482,2925,43532,25,,91866,39735,16264,10160,16013,6315,3379,,156207,47047,22279,34704,18107,5160,26621,,2289,13722,4276,3566,,2183,3698,,137654,124144,5049,6586,,1875,189196,57039,47383,26344,4784,10891,,42537,,218,40943,21139,19805,,,,7436,,,39,2256,1208,125,2490,8,1309,74252,39492,4277,347,579,9704,15000,4852,,,21983,1893,,3535,,11874,4681,,,Schaffhausen
1990,220279,12816,1215,11601,,,22475,8238,2507,1953,2129,,7648,,37177,14782,1786,7852,6394,820,3914,,1630,2343,641,873,70,760,,,27361,26166,10,717,,469,19057,778,4210,9784,655,249,1176,2061,,145,38385,34989,3396,,,,8369,560,3593,,1466,,,1967,,783,25935,20535,4350,194,322,525,,10,,,26360,,,4612,,14841,6907,,,Appenzell_A
1991,240071,16492,1319,15173,,,21571,9123,2892,1965,2495,,5096,,41312,15112,2159,7758,9333,863,4277,,1810,2463,389,1323,28,724,,,33199,31785,19,882,,514,23461,900,4855,11598,680,289,989,3984,,166,38144,35861,2283,,,,11911,,7102,,1368,4,,2519,,919,28308,26255,1058,204,424,368,,,,,23210,,,4622,,10141,8447,,0,Appenzell_A
1992,262022,20125,1423,18701,,,24230,9928,3225,2283,2533,,6261,,45107,16495,2523,8900,9132,903,4919,,2234,2520,645,927,28,920,,,35168,33838,10,779,,541,24747,916,5716,12180,924,349,989,3171,,502,35994,34109,1885,,,,9191,,4021,,1280,385,,2313,,1192,38400,24576,2842,217,390,375,10000,,,,26539,,,4957,,11937,9645,,,Appenzell_A
1993,292771,14072,1477,12595,,,26198,10980,3310,2478,2525,,6905,,47262,16855,2412,8981,11415,908,4864,,1828,2100,714,612,16,758,,,70241,68878,4,796,,562,34508,953,6780,13685,880,7784,462,3635,,329,32706,30524,2182,,,,8541,,3812,,1063,366,,2265,,1034,30449,27285,2192,195,453,267,,58,,,26694,,,4823,,7977,13894,,,Appenzell_A
1994,312569,16672,1772,14900,,,25303,10741,3619,2847,2727,,5370,,51624,18085,2348,9678,14432,909,4745,,1428,1965,516,707,33,708,,,76505,75140,19,766,,579,31703,896,7496,13576,997,4372,497,3703,,164,35988,32747,3241,,,,10400,316,4370,,1760,362,,2331,,1261,32330,29205,2025,237,459,357,,47,,,30081,,,4690,,10619,14771,,,Appenzell_A
1995,317649,14776,1465,13311,,,27874,10673,3998,5130,2566,,5507,,53302,19207,2628,9945,14113,1195,4869,,1345,2241,715,609,21,896,,,81226,79702,135,706,,683,32908,2501,8146,14547,690,958,976,4947,,143,34797,31414,3382,,,,9311,689,2563,300,1992,407,,2047,,1315,31019,28477,1522,222,407,327,,64,,,30196,,,4532,,11562,14102,,,Appenzell_A
1996,353617,16590,1421,15169,,,26573,10606,4318,4393,2657,,4599,,51927,20748,1761,9691,11788,1143,5174,,1622,1627,425,560,4,638,,,90470,88354,176,1071,,869,48801,15095,8047,12877,648,4963,368,6702,,101,30806,26507,4299,,,,8491,414,2693,738,963,273,,2031,,1379,36151,33980,1226,222,447,260,,16,,,42180,,,4464,,10481,27235,,,Appenzell_A
1997,346995,17176,1537,15638,,,28362,11623,4504,5502,2857,68,3808,,50830,21328,2715,9700,8879,1539,5247,,1422,1844,462,678,3,701,,,83430,81115,166,1236,,913,59063,20553,8699,13471,998,9425,861,4935,,122,33235,29104,4130,,,,8198,230,2675,809,847,414,,1946,,1277,37912,35518,1454,213,430,282,,14,,,26946,,,4321,,9885,12741,,,Appenzell_A
1998,358279,16038,1711,14328,,,25996,11025,4537,4364,2909,41,3120,,53583,20670,3392,10972,11982,1977,3205,,1385,2098,672,709,26,691,,,87775,85345,184,1352,,894,63796,24206,9629,14020,631,9440,1001,4684,,184,33190,29427,3762,,,,7649,,2606,852,623,405,,1893,,1271,36292,33995,1354,210,428,270,,35,,,31863,,,3952,,11617,16294,,,Appenzell_A
1999,348913,16786,2197,14590,,,25746,11927,4399,3504,3066,30,2820,,54952,20549,3755,12032,11285,2097,3918,,1315,2392,625,1040,12,715,,,80584,78203,170,1289,,923,58636,24674,9824,14558,671,1172,426,7186,,126,35639,31836,3803,,,,9913,177,2683,1006,2421,562,,1921,,1143,38165,35713,1561,181,333,358,,19,,,26100,,,5057,,9245,11798,,,Appenzell_A
2000,351289,16764,1890,14874,,,24704,11735,4469,2899,3047,34,2519,,60395,21002,3698,14411,12168,586,7206,,1325,3087,787,1196,68,1036,,,79610,77031,245,1338,,996,57740,24869,10402,14492,715,893,199,5735,,435,36712,32778,3934,,,,8326,115,1670,940,1754,572,,2126,,1149,38493,34859,2405,204,284,556,,185,,,25458,,,4824,,9277,11357,,,Appenzell_A
2001,361621,18735,1880,16855,,,24824,12153,4701,2600,3139,42,2189,,68155,25922,4194,17675,11067,670,7212,,1414,2922,889,1165,13,855,,,84172,81355,248,1441,,1128,58579,26352,11413,14369,749,804,434,3976,,483,36944,32066,4877,,,,7991,65,1598,263,1508,652,,2716,,1188,39012,35112,2677,203,385,336,,300,,,20285,,,4840,,8087,7358,,,Appenzell_A
2002,386594,22292,1915,20377,,,26010,12921,4741,2779,3194,42,2333,,70205,25812,5079,18228,10144,819,8574,,1551,2886,755,1470,3,658,,,89597,86564,312,1582,,1139,62941,28490,12384,15187,640,1008,367,4631,,234,43997,38297,5701,,,,9255,,1975,218,2110,476,,3190,,1286,41210,36843,2649,230,770,418,,300,,,18200,,,4907,,7557,5735,,,Appenzell_A
2003,392011,22031,1930,20101,,,27929,13746,4865,3148,3772,,2398,,67082,25645,4946,14134,10401,1057,9020,,1878,2591,801,1112,10,668,,,91336,88320,247,1554,,1216,64565,26274,13924,17096,719,1134,300,4952,,166,34356,29259,5096,,,,13477,,877,231,7828,427,,2799,,1316,48555,37541,8870,215,713,511,,705,,,20089,,,7670,,7808,4611,,,Appenzell_A
2004,416175,24847,2730,22117,,,28405,13481,4988,4055,3181,50,2651,,74000,25185,5451,14383,16118,884,10032,,1947,2690,447,1319,10,915,,,107879,105156,261,1072,,1390,61685,21129,14625,18759,659,1533,560,4297,,122,43751,37884,5868,,,,12285,545,636,133,6319,453,,3141,,1058,43616,37637,3413,171,1701,643,,50,,,17018,,,6904,,6875,3239,,,Appenzell_A
2005,403123,24469,2977,21492,,,28238,13395,5013,4571,2509,66,2685,,70665,27683,5195,13703,10786,874,10612,,1811,3328,1457,939,19,913,,,107703,105168,191,1088,,1256,60551,22500,15117,16595,667,1536,369,3647,,118,39137,33973,5164,,,,9763,272,708,272,2879,462,,4036,,1135,41421,36587,3113,171,723,822,,5,,,17849,,,6431,,8173,3246,,,Appenzell_A
2006,428248,25233,3103,22129,,,31483,14516,5147,5992,3103,19,2707,,75259,28070,5235,14649,9756,118,13669,,3762,3024,976,1135,20,893,,,109799,107046,158,1107,,1488,63279,23995,15406,17442,664,2038,198,3437,,100,45458,39165,6293,,,,12651,569,575,80,5351,329,,4588,,1160,40955,37079,2362,178,734,597,,5,,,21107,,,6305,,9583,5219,,,Appenzell_A
2007,437905,28039,3533,24506,,,33927,14992,5262,7923,3045,,2707,,79082,30710,3846,15249,10402,140,14631,,4104,5160,1190,2215,24,1730,,,110714,107635,177,1205,,1696,66289,24677,17305,17523,667,2107,208,3693,,110,41074,35610,5464,,,,12927,241,481,32,6228,448,,4342,,1155,41486,38213,1706,193,750,624,,,,,19206,,,6686,,8015,4505,,,Appenzell_A
2008,399529,30927,3859,27067,,,30315,15250,4546,5413,2681,,2424,,83456,18734,9941,16386,19291,136,15157,,3812,4733,1511,2304,29,889,,,50069,47351,823,1105,,789,63956,23824,21149,11754,1026,1610,271,4218,,105,56457,47659,8798,,,,13563,402,199,,7008,5,38,4402,,1510,44699,39235,2376,251,761,2076,,,,,21354,,,10970,,8330,2055,,,Appenzell_A
2009,423765,32343,4352,27991,,,33085,16312,4721,5587,2761,,3704,,87874,26512,10574,18863,11325,128,16270,,4203,5873,1855,2816,,1203,,,59546,55997,941,1103,,1505,68419,24868,21634,12577,1145,1882,120,6063,,130,54706,44976,9730,,,,12075,,341,,4779,,56,5295,,1604,47357,42905,1484,204,761,2003,,,,,22488,,,10242,,10516,1731,,,Appenzell_A
2010,421790,31049,3416,27634,,,35748,18256,4912,5763,3168,,3650,,88265,19146,11575,18365,17956,122,17244,,3856,4712,1708,2308,,696,,,57210,53411,915,1148,,1736,71950,24351,24484,13080,1121,2111,132,6529,,142,50299,40295,9930,74,,,9799,,154,,4806,641,295,2687,,1215,48315,41514,2349,206,902,2048,,1296,,,24442,,,9677,,12984,1781,,,Appenzell_A
2011,455053,34079,3589,30491,,,42524,17968,5658,6122,3245,,9531,,94372,20724,12038,19481,20049,79,18116,,3885,6802,1547,4228,,1027,,,66719,62586,1015,1130,,1988,74119,26358,24113,12556,1107,2143,,7680,,163,51415,40610,10806,,,,11044,,239,,5169,391,1221,2616,,1407,53665,41466,2004,223,1020,3956,,4996,,,20314,,,9566,,9015,1733,,,Appenzell_A
2012,536950,33334,2732,30602,,,48050,17211,6452,5995,3303,,15088,,94455,19031,12153,19753,19686,73,19814,,3945,7458,2121,4366,,971,,,138605,134239,999,1131,,2236,80289,27052,27156,13067,1787,2172,,8900,,156,49621,39346,10275,,,,15352,,156,,5765,482,3934,2653,,2362,46870,41191,1969,221,1052,2436,,1,,,22915,,,9950,,11282,1684,,,Appenzell_A
2013,451018,49463,2844,46619,,,36734,17116,6444,5831,4728,,2615,,89277,22323,10988,19182,14747,2165,16481,,3392,6884,1192,4603,,1089,,,56327,51364,844,1128,,2992,82250,28108,28018,13938,794,2221,,9170,,,41066,29841,11225,,,,14996,,125,87,5495,937,3951,2445,,1957,45545,40996,1881,314,993,1361,,,,,28476,539,,10106,,15871,1960,,,Appenzell_A
2014,453053,37999,2598,35401,,,36868,16766,6454,5707,5044,,2896,,89426,21582,10992,18525,15024,2468,17713,,3123,6673,1365,4252,1,1056,,,64276,59247,1086,1123,,2820,84061,29232,28703,13983,1193,2351,,8428,,170,43553,27501,16052,,,,15862,,1099,86,6561,834,3676,2380,,1227,45604,40788,1981,291,1023,1431,,,,90,28730,546,,9536,,16100,2548,,,Appenzell_A
2015,451630,36754,3336,33418,,,36481,16425,7175,5615,4964,,2302,,88652,20659,10591,18589,15071,3099,17622,,3021,6729,1398,4411,,920,,,58759,55265,95,1005,,2395,86708,28374,28763,14973,1071,2411,,10920,,196,48387,31257,17130,,,,12375,,1390,61,4040,893,2178,2361,,1451,47200,39504,3988,232,948,2529,,,,,29584,332,,9911,,16616,2725,,,Appenzell_A
2016,471260,39708,2574,37135,,,38851,18127,7153,6939,4320,,2311,,91476,20125,10606,18611,17148,3826,17933,,3226,7278,1242,5128,,907,,,61934,57737,51,719,,3428,94479,30871,28767,15785,1067,2470,,15372,,147,47381,29330,18050,,,,13340,,2924,,3689,603,2776,1929,,1419,48063,43219,1923,267,949,1705,,,,,28750,,,10130,,16511,2110,,,Appenzell_A
2017,476593,38652,2216,36436,,,39013,18256,7157,6998,4307,,2295,,90096,17453,10187,18375,19471,3680,17804,,3127,6723,1181,4380,2,1160,,,72067,67788,37,667,,3574,94351,29114,29607,16544,1055,2566,,15338,,126,48005,32016,15988,,,,12231,,2997,,3760,731,1773,2023,,947,47817,40582,2070,270,945,3940,,,,10,27638,,,10674,,15204,1760,,,Appenzell_A
2018,476033,36677,2251,34426,,,40894,19531,7926,6526,4579,,2332,,88205,17900,10412,17903,17968,3140,17954,,2927,6336,895,4259,1,1181,,,69334,64708,29,717,,3880,97683,29052,31606,16572,1040,2571,,16694,,147,41316,25889,15426,,,,9587,,839,,2330,756,2843,1854,,964,55156,41416,2074,286,945,1566,,,,8869,30846,,,10710,,18206,1930,,,Appenzell_A
2019,475686,34772,2514,32259,,,41766,19205,7735,7727,4782,,2318,,88264,17740,11107,18248,17912,2697,17688,,2872,6739,1178,4443,,1118,,,65922,61255,78,690,,3898,100558,31390,30303,18143,1594,2668,,16283,,178,44546,29640,14906,,,,8860,,990,,2282,894,1207,2551,,937,48285,41567,2272,311,945,1577,,1613,,,35973,,,10567,,23642,1764,,,Appenzell_A
2020,485829,36190,2494,33695,,,42522,19562,8415,7618,4655,,2272,,88638,17877,11022,18269,18334,2450,17872,,2814,9077,1637,6509,2,929,,,73072,67880,45,1166,,3981,99769,31481,30742,17895,1558,2887,,15040,,166,37634,24831,12803,,,,9101,,1055,,2027,1198,932,2930,,960,48839,41776,1713,275,966,2601,,1507,,1,40987,,,10959,,22593,7435,,,Appenzell_A
1990,77928,4092,590,3503,,,4687,2201,450,46,1368,38,584,,11363,5987,648,1610,1942,144,760,,271,575,12,375,0,123,64,,11499,10990,295,119,,94,9391,217,1119,4804,526,1,1053,1671,,,9557,7898,1658,,,,6109,473,4140,809,298,137,,230,,23,17168,13664,2721,113,106,277,,289,,,3487,,,75,,128,3284,,,Appenzell_I
1991,84025,5191,719,4472,,,5881,2516,597,94,1624,17,1032,,12305,6180,485,1997,2393,197,758,,296,1018,313,415,3,230,57,,12749,12181,303,162,,104,8688,263,1136,3683,620,2,845,2128,,11,6339,5215,1124,,,,6182,2,4320,857,466,144,,365,,27,22082,18487,2730,127,165,569,,2,,,3590,,,149,,113,3328,,0,Appenzell_I
1992,88714,5334,861,4473,,,6499,3186,609,68,1616,13,1006,,14461,8440,360,2009,2439,165,777,,271,3129,2560,213,1,286,70,,13402,12776,369,150,,106,9264,374,1201,3391,669,8,1265,2353,,4,5909,5045,864,,,,7404,1,4358,1367,827,172,,595,,83,19850,17576,1942,127,165,37,,2,,,3462,,,145,,142,3175,,0,Appenzell_I
1993,94257,5548,837,4712,,,7531,4028,630,52,1586,0,1235,,13288,6895,339,1935,2754,259,844,,261,5225,4451,441,1,255,77,,13836,13223,341,143,,128,10586,370,1479,3630,668,995,1292,2142,,10,5794,4895,898,,,,8007,40,5365,1397,797,175,,159,,74,21212,18539,2299,134,166,63,,12,,,3231,,,110,,163,2958,,0,Appenzell_I
1994,94589,7167,828,6339,,,8217,3637,904,91,1583,,2001,,13940,6230,340,2075,3755,305,942,,292,2404,1646,187,1,488,82,,14283,13595,370,194,,124,10316,397,1522,3653,682,409,858,2793,,2,5973,4983,989,,,,7140,19,4487,1529,630,190,,179,,105,22047,20219,1428,114,186,98,,3,,,3103,,,20,,171,2912,,,Appenzell_I
1995,91176,6641,827,5814,,,6914,3282,853,32,1614,,1134,,12982,5789,265,2043,3274,290,1088,,232,1573,634,198,1,737,4,,13897,13189,385,201,,123,10789,375,1639,4077,709,28,1270,2690,,1,6705,6010,695,,,,7174,29,4877,1065,747,180,,202,,74,21554,19258,1369,136,194,475,,14,,108,2947,,,,,139,2808,,,Appenzell_I
1996,104548,6720,919,5801,,,10373,3324,1079,22,1767,,4180,,13428,4889,539,2020,4359,298,1095,,229,846,122,297,1,350,76,,15192,14463,364,234,,132,17070,7125,1559,3584,692,922,660,2528,,,6931,5724,1207,,,,8125,32,5233,1844,318,516,,186,,-3,22691,20583,1310,256,187,265,,19,,72,3170,,,,,158,3013,,,Appenzell_I
1997,107303,7564,850,6715,,,8917,3502,981,102,1961,9,2364,,14937,6642,710,2153,3355,236,1122,,719,726,123,220,47,277,58,,13867,12969,537,239,,122,20150,8477,1780,3739,679,1972,692,2786,,26,6160,5691,469,,,,8162,16,5798,1357,441,337,,147,,65,23198,22022,791,98,197,32,,8,,50,3621,,,,,137,3484,,,Appenzell_I
1998,102495,8130,874,7256,,,7232,3327,979,51,1989,,886,,14303,5398,639,2427,3478,452,954,,953,907,149,296,,376,86,,14003,13055,550,247,,151,19181,6865,1876,3770,459,2441,634,3136,,,5217,4875,342,,,,6881,28,4416,1269,480,419,,203,,66,23888,22832,734,36,229,14,,9,,35,2751,,,,,187,2565,,,Appenzell_I
1999,115946,8438,871,7567,,,6867,3357,870,197,1839,,604,,22341,5036,902,2263,11563,487,1102,,988,880,86,451,5,265,73,,13629,12741,486,257,,145,18529,7820,2161,4233,572,329,225,3189,,,7024,6567,456,,,,7515,14,5075,1367,319,403,,166,,170,27963,26769,812,36,232,15,,9,,91,2760,,,,,162,2598,,,Appenzell_I
2000,109731,8882,825,8057,,,7260,3439,1030,214,1992,,585,,18340,5701,819,2522,6251,97,1779,,1171,1146,49,635,,394,68,,14077,13012,577,362,,126,19619,8242,2424,4441,631,218,375,3289,,,5306,4770,537,,,,7664,12,5182,1266,455,400,,212,,137,24028,22326,935,32,665,7,,23,,41,3408,,,,,153,3256,,,Appenzell_I
2001,115364,8505,865,7640,,,7387,3456,1123,319,1962,,528,,20608,5262,841,2810,8209,93,2182,,1210,1387,103,741,,485,58,,15910,14579,668,373,,289,21146,8971,3070,5148,622,132,314,2888,,1,7062,6519,543,,,,7557,4,5161,1265,498,390,,188,,52,24058,22317,758,36,849,6,,21,,72,1744,,,,,137,1607,,,Appenzell_I
2002,128134,9509,863,8646,,,7778,3637,1091,299,2056,,696,,22125,5702,910,2417,9037,173,2670,,1217,2501,40,629,3,1758,71,,18135,16964,665,386,,121,22688,9970,2753,5640,497,153,538,3135,,,10944,10377,567,,,,6992,4,5219,620,226,634,,208,,82,25762,23804,842,74,764,7,,139,,133,1699,,,,,141,1558,,,Appenzell_I
2003,128382,8900,838,8062,,,8393,3970,1071,217,2597,,538,,19537,2217,1644,2875,8963,187,2467,,1184,3094,78,770,2,2173,72,,17915,16541,886,364,,125,23389,9613,2950,6652,646,237,114,3176,,,6307,5564,744,,,,9315,6,7470,582,369,634,,183,,71,25939,24106,806,55,754,9,,171,,39,5592,,,4053,,157,1381,,,Appenzell_I
2004,131251,9237,875,8362,,,8448,3981,1102,122,2676,,568,,19913,2290,1275,2919,9482,68,2612,,1267,2437,60,745,,1544,89,,19837,18303,1087,367,,80,23970,9745,2948,6101,611,312,79,4173,,,7186,6217,969,,,,8557,5,5402,559,1103,642,,200,,646,26064,24197,778,57,821,35,,137,,39,5602,,,4051,,192,1359,,,Appenzell_I
2005,131902,9320,891,8428,,,8767,4221,1114,203,2522,,706,,21764,2434,1311,3124,10189,340,3159,,1207,1636,59,772,3,731,72,,20122,19192,593,220,,117,25008,10038,3235,6458,563,313,83,4318,,,6166,5444,721,,,,7824,5,5562,554,300,700,,189,,514,25830,23916,820,54,859,8,,155,,19,5466,,,4248,,160,1057,,,Appenzell_I
2006,136999,9593,891,8701,,,8817,4148,1242,388,2435,,604,,23385,3211,1465,3390,10443,212,3429,,1236,1478,144,719,,523,93,,19918,18872,725,212,,109,27262,11483,3471,6927,545,335,113,4386,,,7264,6315,949,,,,7704,6,4398,562,1039,678,,227,,793,25887,24078,781,52,743,9,,172,,51,5691,,,4261,,185,1246,,,Appenzell_I
2007,137292,9469,950,8520,,,8751,4340,1140,107,2633,,531,,24496,2292,1661,3554,11015,275,4401,,1297,1679,171,836,3,591,79,,20615,19499,745,260,,111,26944,11182,3755,6732,541,314,109,4312,,,7515,6580,935,,,,5028,4,3002,475,598,660,,170,,119,27356,25265,1051,42,786,8,,195,,9,5440,,,4219,,157,1063,,,Appenzell_I
2008,121391,10115,935,9180,,,9506,4589,1234,164,2938,,581,,25484,2353,3581,4211,9710,20,4100,,1508,1860,185,1080,1,492,102,,12506,10899,1188,361,,58,17378,3901,4763,3445,889,370,,4011,,,10050,8494,1547,9,,,1583,18,41,444,273,400,90,246,,72,26881,24768,1001,41,772,6,,264,,28,6027,,,4271,,204,1552,,,Appenzell_I
2009,127714,10941,1103,9838,,,10096,4993,1391,34,3011,,667,,26196,2368,3072,4258,10145,623,4187,,1541,1795,140,1033,,516,105,,12562,11069,1145,260,,89,17761,4567,4541,3325,752,391,,4186,,,12669,10809,1851,9,,,2345,15,135,468,592,690,125,256,,64,28134,25728,867,48,817,270,,374,,31,5215,,,4501,,211,503,,,Appenzell_I
2010,132980,10945,1068,9877,,,10955,6019,1425,18,2897,,596,,28912,2416,2514,5118,12022,704,4559,,1579,1945,191,1203,,456,95,,14681,12948,1296,307,,130,19362,5458,4835,3334,799,338,,4597,,,11634,9531,2095,8,,,1844,4,110,371,314,687,132,191,,36,27985,25573,819,40,827,297,,412,,17,4716,,,4356,,190,170,,,Appenzell_I
2011,141252,11749,1102,10647,,,10214,5606,1365,62,2604,,576,,32116,2526,2392,5057,15115,700,4685,,1642,2183,115,1218,,732,118,,16998,15387,1208,302,,101,19505,5289,5007,3269,1135,336,,4469,,,11735,9588,2139,9,,,3949,9,62,1394,1023,684,544,215,,18,28083,26035,695,44,758,228,,306,,16,4721,,,4454,,237,30,,,Appenzell_I
2012,140781,11723,1142,10581,,,10532,5720,1409,113,2661,,629,,27538,2424,2461,4817,9864,895,5363,,1713,2110,142,1245,,604,118,,19828,18092,1255,340,,141,20992,5763,5452,3478,1081,400,,4818,,,10846,8979,1852,14,,,4541,11,41,2110,869,712,684,97,,17,28135,25964,731,40,842,236,,320,,3,4537,,,4240,,236,61,,,Appenzell_I
2013,143730,13645,1135,12510,,,10860,5499,1560,192,2979,,630,,27974,2557,2351,4839,10281,902,5275,,1769,2531,253,1346,,821,110,,19848,18126,1287,289,,147,21388,5954,5187,3332,1241,419,,5255,,,10572,8173,2384,14,,,3744,8,37,1534,786,731,573,59,,16,28616,26167,671,96,860,311,,509,,3,4552,,,4252,,220,80,,,Appenzell_I
2014,151268,12687,1129,11558,,,10754,5513,1654,156,2783,,648,,27696,2385,2584,4770,9862,945,5332,,1818,2130,258,925,,837,111,,30676,28642,1644,274,,116,21069,5568,5268,3291,988,387,,5568,,,10101,6985,3101,14,,,3337,16,,788,708,673,869,266,,16,28302,25950,905,64,866,308,,207,,3,4515,,,4246,,223,47,,,Appenzell_I
2015,147061,11877,1129,10747,,,10850,5439,1652,100,2687,391,581,,27508,2454,2527,4759,9499,1140,5450,,1679,2281,291,1279,,574,137,,26712,24488,1789,270,,165,22748,6247,5200,3418,801,397,,6590,,96,10184,6009,4160,15,,,3149,227,,774,266,609,1258,,,15,27069,24193,985,230,997,292,,370,,3,4682,30,,4249,,273,130,,,Appenzell_I
2016,154274,12519,1159,11360,,,11143,5548,1471,76,2965,510,572,,26706,2590,2262,4493,9170,1235,5132,,1824,2454,279,1247,,792,135,,27944,25566,2024,271,,83,23811,5854,5335,3672,771,372,,7706,,101,13963,8624,5324,15,,,3728,0,,813,826,595,1480,,,13,27047,24389,1146,99,895,354,,161,,3,4960,60,,4242,,271,388,,,Appenzell_I
2017,146157,12927,1149,11778,,,11709,5641,1626,123,3093,598,627,,27536,2894,2441,4459,9069,1222,5434,,2018,2222,296,1325,,437,165,,21657,19090,2232,271,,64,23965,6107,5524,4003,803,419,,7090,,19,10247,6477,3756,15,,,3747,447,,798,1028,342,1120,,,12,27396,24697,820,79,987,635,,175,,3,4751,81,,4172,,331,167,,,Appenzell_I
2018,148605,13635,1188,12447,,,12353,5966,1761,202,3304,467,654,,26721,2312,2254,4639,9108,1040,5381,,1988,2580,235,1284,,896,165,,23680,20854,2462,298,,66,23944,6429,5382,3693,798,406,,7162,,74,9731,6229,3492,10,,,3592,31,,935,1129,367,1117,,,12,27677,24504,968,107,963,831,,300,,3,4692,87,,4195,,329,81,,,Appenzell_I
2019,156517,15643,1234,14409,,,12755,5943,1768,73,3395,699,877,,26355,2528,2266,4704,8631,1097,5159,,1970,3954,363,1242,,2213,135,,25491,22831,2245,302,,112,24157,6528,5042,4253,873,495,,6907,,58,11974,8815,3149,10,,,4343,89,,1059,1774,473,939,,,9,27031,23662,836,143,1020,739,,630,,1,4814,196,,4299,,271,49,,,Appenzell_I
2020,164649,17027,1535,15491,,,13523,6475,2102,25,3688,428,805,,26308,2244,2215,4588,8926,926,5362,,2045,5201,234,1451,,3293,223,,26863,23754,2457,553,,99,24341,6304,5248,4027,950,554,,7237,,21,13905,10893,3002,10,,,3064,12,,1045,962,635,401,,,7,29424,25214,1047,147,1018,920,,1076,,1,4995,170,,4298,,446,81,,,Appenzell_I
1990,1915412,95129,3140,91988,,,163074,69629,27494,23442,12591,2789,27128,,381283,87657,15159,74899,61818,44804,89588,,7358,41154,3964,7269,,3802,26119,,404627,371364,540,8914,,23809,200121,2635,43842,118411,6453,3048,1325,23613,,794,219520,198580,20876,64,,,51017,2990,17068,6355,11323,289,,6192,,6800,129079,82584,40092,2091,1384,441,,758,,1730,230409,,550,23923,,170095,35839,,1,St_Gallen
1991,2136998,110689,3648,107041,,,182009,73126,33883,25907,13442,6974,28676,,439692,113465,15961,88162,66782,50037,97839,,7447,43387,5649,9695,,5900,22141,,469823,429545,641,23925,,15712,234156,2258,50114,138101,8578,3931,1648,26682,,2844,231217,212968,18232,17,,,67270,3205,21959,15752,13083,272,,7408,,5590,141469,107251,26999,2842,1666,511,,550,,1650,217287,,491,36531,,146007,34258,,,St_Gallen
1992,2265817,124029,3929,120100,,,194256,88074,38403,27034,13939,1700,25105,,470662,125588,19096,86798,67064,53103,109019,,9994,42457,4022,8796,,5867,23772,,505555,462387,858,25846,,16464,264567,2547,58508,137168,8464,6133,2173,48735,,837,229687,204874,24779,35,,,60594,2397,19497,8519,14812,352,,8366,,6650,139645,109809,22167,2604,2247,657,,388,,1772,234365,,267,47591,,159731,26777,,,St_Gallen
1993,2418532,139635,3955,135680,,,197950,86861,41413,29333,15153,1185,24006,,507655,147011,13883,95215,68178,54225,119530,,9613,35919,4350,9738,,5138,16693,,524102,478760,2692,26056,,16594,370642,2622,64510,145754,7655,95788,3445,49130,,1738,213018,189192,23821,5,,,55652,2235,18646,12449,11116,176,,6449,,4580,171240,139116,25081,3163,1817,637,,267,,1160,202718,,,34882,,134623,33213,,,St_Gallen
